id,OFFENSE_CODE_GROUP,OCCURRED_ON_DATE,STREET,Lat,Long,Image_Id
1,Disorderly Conduct,10/3/2018 20:13,ARLINGTON ST,42.262608,-71.121186,5cae691a579dc84342e094d4
2,Property Lost,8/30/2018 20:00,ALLSTON ST,42.352111,-71.135311,5cae691a579dc84342e094d4
3,Other,10/3/2018 19:20,DEVON ST,42.308126,-71.07693,5cae691a579dc84342e094d4
4,Aggravated Assault,10/3/2018 20:00,CAMBRIDGE ST,42.359454,-71.059648,5cae691a579dc84342e094d4
5,Aircraft,10/3/2018 20:49,PRESCOTT ST,42.375258,-71.024663,5cae691a579dc84342e094d4
6,Vandalism,10/2/2018 20:40,DORCHESTER AVE,42.299197,-71.06047,5cae691a579dc84342e09556
7,Motor Vehicle Accident Response,10/3/2018 20:16,WASHINGTON ST,42.320734,-71.056764,5cae691a579dc84342e09534
8,Verbal Disputes,10/3/2018 19:32,TREMONT ST,42.333807,-71.103778,5cae691a579dc84342e094f0
9,Simple Assault,10/3/2018 19:27,AVILA RD,42.256145,-71.128025,5cae691a579dc84342e094d4
10,Towed,10/3/2018 20:00,COMMONWEALTH AVE,42.348866,-71.089363,5cae691a579dc84342e094d4
11,Motor Vehicle Accident Response,10/3/2018 19:33,FOSTER ST,42.344323,-71.157784,5cae691a579dc84342e094d4
12,Auto Theft,10/1/2018 20:00,BYNNER ST,42.323244,-71.108923,5cae691a579dc84342e094d4
13,Medical Assistance,10/3/2018 17:18,BELNEL RD,42.260599,-71.103061,5cae691a579dc84342e094d4
14,Investigate Person,10/3/2018 8:00,ELIZABETH ST,42.279865,-71.087983,5cae691a579dc84342e094d4
15,Medical Assistance,10/3/2018 19:58,FOTTLER RD,42.277919,-71.096406,5cae691a579dc84342e094d4
16,Motor Vehicle Accident Response,10/3/2018 19:30,WASHINGTON ST,42.315961,-71.090426,5cae691a579dc84342e09534
17,Other,10/3/2018 18:35,HALLET ST,42.280767,-71.047365,5cae691a579dc84342e094d4
18,Other,10/3/2018 19:56,DUNKELD ST,42.312778,-71.075629,5cae691a579dc84342e094d4
19,Investigate Person,10/3/2018 18:41,KILMARNOCK ST,42.342681,-71.099377,5cae691a579dc84342e094d4
20,Fire Related Reports,10/3/2018 18:18,NAVILLUS TER,42.309988,-71.062131,5cae691a579dc84342e094d4
21,Motor Vehicle Accident Response,10/2/2018 20:00,COLUMBIA RD,42.330015,-71.038513,5cae691a579dc84342e094ee
22,Larceny,10/3/2018 19:09,HUNTINGTON AVE,42.347972,-71.078496,5cae691a579dc84342e094d4
23,Investigate Property,10/3/2018 18:24,HANSFORD ST,42.325276,-71.083516,5cae691a579dc84342e094d4
24,Verbal Disputes,10/3/2018 18:53,AKRON ST,42.325794,-71.085638,5cae691a579dc84342e094d4
25,Larceny,10/3/2018 18:53,AKRON ST,42.325794,-71.085638,5cae691a579dc84342e094d4
26,Robbery,10/3/2018 19:05,WASHINGTON ST,42.349524,-71.079493,5cae691a579dc84342e09534
27,Drug Violation,10/3/2018 17:30,BOYLSTON ST,42.316942,-71.103946,5cae691a579dc84342e094d4
28,Investigate Person,5/12/2018 0:00,HARRISON AVE,42.34285,-71.065162,5cae691a579dc84342e094d4
29,Medical Assistance,10/3/2018 19:19,MONTCALM AVE,42.353211,-71.148411,5cae691a579dc84342e094d4
30,Medical Assistance,10/3/2018 18:49,MARGARET ST,42.365703,-71.055803,5cae691a579dc84342e094d4
31,Other,10/3/2018 18:46,CHAUCER ST,42.383055,-71.021176,5cae691a579dc84342e094d4
32,Simple Assault,10/3/2018 18:07,AMORY ST,42.319157,-71.100676,5cae691a579dc84342e094d4
33,Other,10/3/2018 19:05,GREENMOUNT ST,42.310414,-71.059181,5cae691a579dc84342e094d4
34,Violations,10/3/2018 19:05,GREENMOUNT ST,42.310414,-71.059181,5cae691a579dc84342e094d4
35,Vandalism,9/30/2018 0:00,WASHINGTON ST,42.272345,-71.068718,5cae691a579dc84342e09534
